Sample name,title,raw data file,source name,organism,characteristics: donor,characteristics: vaccine,characteristics: time of acquisition,characteristics: timepoint,characteristics: time of acquisition unit,molecule,label,description,platform or Agilent design ID
Control.4,Control,US93503719_254853410570_S01_GE1_107_Sep09_2_4.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R770_w1.0h,post-vaccination blood sample from animal R770 at w1.w1h,US93503719_254853410571_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R770,Macaca mulatta,R770,NYV-SIV,4,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with NYV-SIV,GPL17463
P168_R773_w26.0h,post-vaccination blood sample from animal R773 at w26.w26h,US93503719_254853410571_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R773,Macaca mulatta,R773,NYV-SIV,3,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-SIV,GPL17463
P168_R769_w4.6h,post-vaccination blood sample from animal R769 at w4.w4h,US93503719_254853410571_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R769,Macaca mulatta,R769,NYV-SIV,3,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with NYV-SIV,GPL17463
P168_R770_w25.0h,post-vaccination blood sample from animal R770 at w25.w25h,US93503719_254853410571_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R770,Macaca mulatta,R770,NYV-SIV,4,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_R773_w25.0h,post-vaccination blood sample from animal R773 at w25.w25h,US93503719_254853410571_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R773,Macaca mulatta,R773,NYV-SIV,3,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_P397_w2.0h,post-vaccination blood sample from animal P397 at w2.w2h,US93503719_254853410571_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal P397,Macaca mulatta,P397,NYV-SIV,5,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with NYV-SIV,GPL17463
P168_R772_w0.0h,pre-vaccination blood sample from animal R772 at w0.w0h,US93503719_254853410571_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
Control.29,Control,US93503719_254853410571_S01_GE1_107_Sep09_2_4.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_P390_w14.0h,post-vaccination blood sample from animal P390 at w14.w14h,US93503719_254853410576_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal P390,Macaca mulatta,P390,ALV-SIV,6,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
P168_R760_w14.0h,post-vaccination blood sample from animal R760 at w14.w14h,US93503719_254853410576_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R760,Macaca mulatta,R760,ALV-SIV,2,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
P168_R765_w14.0h,post-vaccination blood sample from animal R765 at w14.w14h,US93503719_254853410576_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R765,Macaca mulatta,R765,ALV-SIV,5,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
P168_R767_w14.0h,post-vaccination blood sample from animal R767 at w14.w14h,US93503719_254853410576_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R767,Macaca mulatta,R767,ALV-SIV,3,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
P168_R768_w14.0h,post-vaccination blood sample from animal R768 at w14.w14h,US93503719_254853410576_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R768,Macaca mulatta,R768,ALV-SIV,1,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
P168_R776_w14.0h,post-vaccination blood sample from animal R776 at w14.w14h,US93503719_254853410576_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R776,Macaca mulatta,R776,ALV-SIV,2,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
Control.45,Control,US93503719_254853410576_S01_GE1_107_Sep09_2_4.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R791_w0.0h,pre-vaccination blood sample from animal R791 at w0.w0h,US93503719_254853410582_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R791,Macaca mulatta,R791,ALV-SIV,not infected,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R761_w4.0h,post-vaccination blood sample from animal R761 at w4.w4h,US93503719_254853410582_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R761,Macaca mulatta,R761,ALV-SIV,"NA",w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-SIV,GPL17463
P168_R783_w26.0h,post-vaccination blood sample from animal R783 at w26.w26h,US93503719_254853410582_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R783,Macaca mulatta,R783,ALV-SIV,6,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with ALV-SIV,GPL17463
P168_R761_w12.0h,post-vaccination blood sample from animal R761 at w12.w12h,US93503719_254853410582_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R761,Macaca mulatta,R761,ALV-SIV,"NA",w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-SIV,GPL17463
P168_R781_w14.0h,post-vaccination blood sample from animal R781 at w14.w14h,US93503719_254853410582_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R781,Macaca mulatta,R781,ALV-SIV,1,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
P168_R783_w14.0h,post-vaccination blood sample from animal R783 at w14.w14h,US93503719_254853410582_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R783,Macaca mulatta,R783,ALV-SIV,6,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
P168_R784_w14.0h,post-vaccination blood sample from animal R784 at w14.w14h,US93503719_254853410582_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
P168_R791_w14.0h,post-vaccination blood sample from animal R791 at w14.w14h,US93503719_254853410582_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R791,Macaca mulatta,R791,ALV-SIV,not infected,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
P168_R783_w12.6h,post-vaccination blood sample from animal R783 at w12.w12h,US93503719_254853410585_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R783,Macaca mulatta,R783,ALV-SIV,6,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with ALV-SIV,GPL17463
P168_R781_w12.24h,post-vaccination blood sample from animal R781 at w12.w12h,US93503719_254853410585_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R781,Macaca mulatta,R781,ALV-SIV,1,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-SIV,GPL17463
P168_R784_w0.24h,post-vaccination blood sample from animal R784 at w0.w0h,US93503719_254853410585_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_R783_w0.0h,pre-vaccination blood sample from animal R783 at w0.w0h,US93503719_254853410585_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R783,Macaca mulatta,R783,ALV-SIV,6,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R761_w0.0h,pre-vaccination blood sample from animal R761 at w0.w0h,US93503719_254853410585_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R761,Macaca mulatta,R761,ALV-SIV,"NA",w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
Control.7,Control,US93503719_254853410585_S01_GE1_107_Sep09_2_2.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R783_w2.0h,post-vaccination blood sample from animal R783 at w2.w2h,US93503719_254853410585_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R783,Macaca mulatta,R783,ALV-SIV,6,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-SIV,GPL17463
P168_R783_w0.24h,post-vaccination blood sample from animal R783 at w0.w0h,US93503719_254853410585_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R783,Macaca mulatta,R783,ALV-SIV,6,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_R781_w0.24h,post-vaccination blood sample from animal R781 at w0.w0h,US93503719_254853410586_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R781,Macaca mulatta,R781,ALV-SIV,1,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_R791_w25.0h,post-vaccination blood sample from animal R791 at w25.w25h,US93503719_254853410586_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R791,Macaca mulatta,R791,ALV-SIV,not infected,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-SIV,GPL17463
P168_R783_w4.6h,post-vaccination blood sample from animal R783 at w4.w4h,US93503719_254853410586_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R783,Macaca mulatta,R783,ALV-SIV,6,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with ALV-SIV,GPL17463
P168_R784_w25.0h,post-vaccination blood sample from animal R784 at w25.w25h,US93503719_254853410586_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-SIV,GPL17463
P168_R761_w1.0h,post-vaccination blood sample from animal R761 at w1.w1h,US93503719_254853410586_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R761,Macaca mulatta,R761,ALV-SIV,"NA",w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-SIV,GPL17463
P168_P409_w5.0h,post-vaccination blood sample from animal P409 at w5.w5h,US93503719_254853410586_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-SIV,GPL17463
P168_P409_w0.6h,post-vaccination blood sample from animal P409 at w0.w0h,US93503719_254853410586_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_P409_w12.24h,post-vaccination blood sample from animal P409 at w12.w12h,US93503719_254853410592_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-SIV,GPL17463
P168_R783_w5.0h,post-vaccination blood sample from animal R783 at w5.w5h,US93503719_254853410592_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R783,Macaca mulatta,R783,ALV-SIV,6,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-SIV,GPL17463
P168_R781_w0.6h,post-vaccination blood sample from animal R781 at w0.w0h,US93503719_254853410592_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R781,Macaca mulatta,R781,ALV-SIV,1,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_R791_w4.0h,post-vaccination blood sample from animal R791 at w4.w4h,US93503719_254853410592_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R791,Macaca mulatta,R791,ALV-SIV,not infected,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-SIV,GPL17463
P168_P409_w12.6h,post-vaccination blood sample from animal P409 at w12.w12h,US93503719_254853410592_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with ALV-SIV,GPL17463
P168_P409_w2.0h,post-vaccination blood sample from animal P409 at w2.w2h,US93503719_254853410592_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-SIV,GPL17463
P168_R781_w1.0h,post-vaccination blood sample from animal R781 at w1.w1h,US93503719_254853410592_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R781,Macaca mulatta,R781,ALV-SIV,1,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-SIV,GPL17463
P168_R781_w5.0h,post-vaccination blood sample from animal R781 at w5.w5h,US93503719_254853410592_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R781,Macaca mulatta,R781,ALV-SIV,1,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-SIV,GPL17463
P168_R784_w1.0h,post-vaccination blood sample from animal R784 at w1.w1h,US93503719_254853410593_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-SIV,GPL17463
P168_R791_w12.24h,post-vaccination blood sample from animal R791 at w12.w12h,US93503719_254853410593_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R791,Macaca mulatta,R791,ALV-SIV,not infected,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-SIV,GPL17463
P168_R791_w4.6h,post-vaccination blood sample from animal R791 at w4.w4h,US93503719_254853410593_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R791,Macaca mulatta,R791,ALV-SIV,not infected,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with ALV-SIV,GPL17463
P168_R784_w5.0h,post-vaccination blood sample from animal R784 at w5.w5h,US93503719_254853410593_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-SIV,GPL17463
P168_R784_w12.24h,post-vaccination blood sample from animal R784 at w12.w12h,US93503719_254853410593_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-SIV,GPL17463
P168_P409_w4.6h,post-vaccination blood sample from animal P409 at w4.w4h,US93503719_254853410593_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with ALV-SIV,GPL17463
P168_R791_w5.0h,post-vaccination blood sample from animal R791 at w5.w5h,US93503719_254853410593_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R791,Macaca mulatta,R791,ALV-SIV,not infected,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-SIV,GPL17463
P168_P409_w4.0h,post-vaccination blood sample from animal P409 at w4.w4h,US93503719_254853410593_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-SIV,GPL17463
P168_R761_w0.24h,post-vaccination blood sample from animal R761 at w0.w0h,US93503719_254853410594_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R761,Macaca mulatta,R761,ALV-SIV,"NA",w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
Control.47,Control,US93503719_254853410594_S01_GE1_107_Sep09_1_3.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R781_w4.0h,post-vaccination blood sample from animal R781 at w4.w4h,US93503719_254853410594_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R781,Macaca mulatta,R781,ALV-SIV,1,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-SIV,GPL17463
P168_P409_w24.24h,post-vaccination blood sample from animal P409 at w24.w24h,US93503719_254853410594_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with ALV-SIV,GPL17463
P168_R761_w12.24h,post-vaccination blood sample from animal R761 at w12.w12h,US93503719_254853410594_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R761,Macaca mulatta,R761,ALV-SIV,"NA",w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-SIV,GPL17463
P168_R784_w4.6h,post-vaccination blood sample from animal R784 at w4.w4h,US93503719_254853410594_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with ALV-SIV,GPL17463
P168_R791_w2.0h,post-vaccination blood sample from animal R791 at w2.w2h,US93503719_254853410594_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R791,Macaca mulatta,R791,ALV-SIV,not infected,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-SIV,GPL17463
P168_R791_w12.0h,post-vaccination blood sample from animal R791 at w12.w12h,US93503719_254853410595_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R791,Macaca mulatta,R791,ALV-SIV,not infected,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-SIV,GPL17463
P168_R791_w0.6h,post-vaccination blood sample from animal R791 at w0.w0h,US93503719_254853410595_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R791,Macaca mulatta,R791,ALV-SIV,not infected,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_R761_w4.6h,post-vaccination blood sample from animal R761 at w4.w4h,US93503719_254853410595_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R761,Macaca mulatta,R761,ALV-SIV,"NA",w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with ALV-SIV,GPL17463
P168_R761_w12.6h,post-vaccination blood sample from animal R761 at w12.w12h,US93503719_254853410595_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R761,Macaca mulatta,R761,ALV-SIV,"NA",w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with ALV-SIV,GPL17463
P168_R791_w24.24h,post-vaccination blood sample from animal R791 at w24.w24h,US93503719_254853410595_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R791,Macaca mulatta,R791,ALV-SIV,not infected,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with ALV-SIV,GPL17463
P168_R784_w12.0h,post-vaccination blood sample from animal R784 at w12.w12h,US93503719_254853410595_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-SIV,GPL17463
P168_R781_w2.0h,post-vaccination blood sample from animal R781 at w2.w2h,US93503719_254853410595_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R781,Macaca mulatta,R781,ALV-SIV,1,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-SIV,GPL17463
P168_R784_w2.0h,post-vaccination blood sample from animal R784 at w2.w2h,US93503719_254853410595_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-SIV,GPL17463
P168_R761_w5.0h,post-vaccination blood sample from animal R761 at w5.w5h,US93503719_254853410596_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R761,Macaca mulatta,R761,ALV-SIV,"NA",w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-SIV,GPL17463
P168_P409_w25.0h,post-vaccination blood sample from animal P409 at w25.w25h,US93503719_254853410596_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-SIV,GPL17463
P168_R784_w0.0h,pre-vaccination blood sample from animal R784 at w0.w0h,US93503719_254853410596_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R784,Macaca mulatta,R784,ALV-SIV,2,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R783_w12.24h,post-vaccination blood sample from animal R783 at w12.w12h,US93503719_254853410596_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R783,Macaca mulatta,R783,ALV-SIV,6,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-SIV,GPL17463
P168_R781_w25.0h,post-vaccination blood sample from animal R781 at w25.w25h,US93503719_254853410596_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R781,Macaca mulatta,R781,ALV-SIV,1,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-SIV,GPL17463
P168_R761_w0.6h,post-vaccination blood sample from animal R761 at w0.w0h,US93503719_254853410596_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R761,Macaca mulatta,R761,ALV-SIV,"NA",w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_P409_w12.0h,post-vaccination blood sample from animal P409 at w12.w12h,US93503719_254853410596_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P409,Macaca mulatta,P409,ALV-SIV,"NA",w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-SIV,GPL17463
P168_R783_w1.0h,post-vaccination blood sample from animal R783 at w1.w1h,US93503719_254853410596_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R783,Macaca mulatta,R783,ALV-SIV,6,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-SIV,GPL17463
P168_R760_w5.0h,post-vaccination blood sample from animal R760 at w5.w5h,US93503719_254853410612_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R760,Macaca mulatta,R760,ALV-SIV,2,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-SIV,GPL17463
P168_R768_w1.0h,post-vaccination blood sample from animal R768 at w1.w1h,US93503719_254853410612_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R768,Macaca mulatta,R768,ALV-SIV,1,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-SIV,GPL17463
P168_R768_w2.0h,post-vaccination blood sample from animal R768 at w2.w2h,US93503719_254853410612_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R768,Macaca mulatta,R768,ALV-SIV,1,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-SIV,GPL17463
P168_R768_w0.0h,pre-vaccination blood sample from animal R768 at w0.w0h,US93503719_254853410612_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R768,Macaca mulatta,R768,ALV-SIV,1,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R776_w1.0h,post-vaccination blood sample from animal R776 at w1.w1h,US93503719_254853410612_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R776,Macaca mulatta,R776,ALV-SIV,2,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-SIV,GPL17463
P168_R776_w0.6h,post-vaccination blood sample from animal R776 at w0.w0h,US93503719_254853410612_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R776,Macaca mulatta,R776,ALV-SIV,2,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_P390_w5.0h,post-vaccination blood sample from animal P390 at w5.w5h,US93503719_254853410612_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P390,Macaca mulatta,P390,ALV-SIV,6,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-SIV,GPL17463
P168_P390_w0.6h,post-vaccination blood sample from animal P390 at w0.w0h,US93503719_254853410612_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal P390,Macaca mulatta,P390,ALV-SIV,6,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_R760_w0.24h,post-vaccination blood sample from animal R760 at w0.w0h,US93503719_254853410613_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R760,Macaca mulatta,R760,ALV-SIV,2,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_R765_w4.6h,post-vaccination blood sample from animal R765 at w4.w4h,US93503719_254853410613_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R765,Macaca mulatta,R765,ALV-SIV,5,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with ALV-SIV,GPL17463
P168_R767_w12.0h,post-vaccination blood sample from animal R767 at w12.w12h,US93503719_254853410613_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R767,Macaca mulatta,R767,ALV-SIV,3,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-SIV,GPL17463
P168_R776_w4.0h,post-vaccination blood sample from animal R776 at w4.w4h,US93503719_254853410613_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R776,Macaca mulatta,R776,ALV-SIV,2,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-SIV,GPL17463
P168_R768_w25.0h,post-vaccination blood sample from animal R768 at w25.w25h,US93503719_254853410613_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R768,Macaca mulatta,R768,ALV-SIV,1,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-SIV,GPL17463
